Case Number,APS Filed,Suspicious Activity,Gender,DOB,US Citizen,State,Product
2022-03-00570,No,Elder Financial Exploitation,Female,3/4/1953,Yes,Oregon,Fixed Annuity
2021-04-00977,No,Identity Theft,Male,9/21/1957,Yes,Iowa,Retirement Plan
2022-10-03020,No,Suspicious Call,Female,9/1/1955,Yes,Florida,Life Insurance
2022-11-03359,No,Fraudulent Patterns,Female,9/8/1953,Yes,Texas,Life Insurance
2022-10-03218,No,Suspicious Call,Female,4/28/1972,Yes,Pennsylvania,Life Insurance
2022-07-02073,No,ACH Fraud,Female,5/20/1955,Yes,Florida,Life Insurance
2022-05-01502,No,Suspicious Call,Female,1/29/1950,Yes,Florida,Life Insurance
2021-03-00637,No,Fraudulent Patterns,Male,9/23/1948,Yes,New York,Life Insurance
2022-09-02604,No,Fraudulent Patterns,Female,4/23/1965,Yes,California,Life Insurance
2021-06-01621,No,Money Laundering,Male,8/19/1942,Yes,California,Life Insurance
2021-06-01621,No,Money Laundering,Female,12/4/1965,Yes,California,Life Insurance
2022-08-02370,No,Account Takeover,Male,4/15/1945,Yes,New York,Life Insurance
2021-12-03692,No,Fraudulent Patterns,Female,8/26/1967,Yes,California,Life Insurance
2022-05-01466,No,Unknown Source of Funds,Male,7/16/1946,Yes,California,Life Insurance
2022-05-01466,No,Unknown Source of Funds,Male,2/26/1955,Yes,California,Life Insurance
2022-10-03075,No,Suspicious Call,Male,2/16/1957,Yes,Florida,Life Insurance
2022-04-00999,No,Elder Financial Exploitation,Female,9/5/1935,Yes,Michigan,Life Insurance
2022-05-01333,No,Elder Financial Exploitation,Female,12/14/1950,Yes,Indiana,Life Insurance
2022-05-01333,No,Elder Financial Exploitation,Male,4/29/1934,Yes,Indiana,Life Insurance
2022-08-02542,No,ACH Fraud,Male,9/8/1958,Yes,California,Life Insurance
2021-04-01223,No,Account Takeover,Male,4/8/1962,Yes,Illinois,Life Insurance
2022-05-01529,No,Check Fraud,Male,3/28/1963,Yes,Maryland,Life Insurance
2022-04-01018,No,Fraudulent Documents,Female,5/26/1962,Yes,California,Life Insurance
2021-05-01401,No,Elder Financial Exploitation,Female,3/3/1936,Yes,Florida,Life Insurance
2021-11-03387,No,Fraudulent Documents,Male,10/26/1987,Yes,Texas,Variable Annuity
2021-11-03387,No,Fraudulent Documents,Male,9/9/1952,Yes,Texas,Variable Annuity
2022-11-03361,No,Unusual/unexplained Activity,Female,10/1/1961,Yes,Pennsylvania,Life Insurance
2021-09-02747,No,Account Takeover,Male,11/21/1978,Yes,Maryland,Life Insurance
2022-09-02807,No,ACH Fraud,Male,11/11/1952,Yes,Florida,Life Insurance
2021-03-00789,No,Unknown Source of Funds,Female,11/3/1956,Yes,Illinois,Life Insurance
2021-03-00789,No,Unknown Source of Funds,Male,6/16/1960,Yes,Illinois,Life Insurance
2022-04-01151,No,Identity Theft,Female,10/15/1975,Yes,California,Life Insurance
2021-11-03226,No,Suspicious Call,Female,9/6/1971,Yes,California,Life Insurance
2022-08-02442,No,Elder Financial Exploitation,Male,4/12/1948,Yes,California,Life Insurance
2021-12-03754,No,Fraudulent Patterns,Male,8/3/1921,Yes,California,Life Insurance
2022-06-01800,No,Fraudulent Patterns,Female,3/25/1954,Yes,New Jersey,Variable Annuity
2022-01-00192,No,Suspicious Call,Male,12/31/1953,Yes,Washington,Life Insurance
2022-06-01663,No,Money Laundering,Male,6/15/1977,Yes,Texas,Life Insurance
2022-06-01663,No,Money Laundering,Female,8/24/1976,Yes,Texas,Life Insurance
2022-08-02417,No,Money Laundering,Female,10/14/1987,Yes,California,Life Insurance
2022-08-02417,No,Money Laundering,Male,5/31/1988,Yes,California,Life Insurance
2021-09-02835,No,ACH Fraud,Male,9/18/1961,Yes,Illinois,Life Insurance
2021-11-03204,No,ACH Fraud,Male,12/15/1958,Yes,Ohio,Life Insurance
2021-11-03340,No,Elder Financial Exploitation,Female,12/11/1938,Yes,Maryland,Life Insurance
2021-02-00431,No,Check Fraud,Male,5/1/1955,Yes,California,Life Insurance
2022-01-00085,No,ACH Fraud,Male,7/5/1950,Yes,Washington,Variable Annuity
2022-02-00525,No,Fraudulent Documents,Female,12/5/1955,Yes,New York,Fixed Annuity
2022-12-03648,No,Fraudulent Documents,Female,3/19/1975,Yes,New York,Life Insurance
2022-09-02703,No,Elder Financial Exploitation,Female,7/28/1959,Yes,Florida,Life Insurance
2022-10-02930,No,Suspicious Call,Male,9/9/1970,Yes,Arizona,Retirement Plan
2022-11-03366,No,Money Laundering,Female,3/23/1967,Yes,Georgia,Life Insurance
2022-06-01815,No,Elder Financial Exploitation,Male,9/11/1927,Yes,California,Life Insurance
2022-03-00644,No,Fraudulent Documents,Female,2/3/1954,Yes,Florida,Retirement Plan
2022-07-02202,No,Elder Financial Exploitation,Male,12/19/1944,Yes,New York,Variable Annuity
2021-06-01737,No,Check Fraud,Female,8/21/1952,Yes,Florida,Variable Annuity
2022-10-03061,No,Account Takeover,Male,1/14/1964,Yes,Illinois,Retirement Plan
2022-08-02573,No,ACH Fraud,Male,10/7/1988,Yes,Louisiana,Retirement Plan
2022-03-00781,No,ACH Fraud,Male,12/25/1988,Yes,Tennessee,Retirement Plan
2021-09-02774,No,Fraudulent Documents,Female,4/5/1969,Yes,Florida,Retirement Plan
2021-07-02087,No,Unusual/unexplained Activity,Female,12/29/1938,Yes,New Jersey,Life Insurance
2021-07-02087,No,Unusual/unexplained Activity,Male,6/8/1971,Yes,New Jersey,Life Insurance
2021-02-00541,No,Fraudulent Documents,Male,7/1/1971,Yes,California,Life Insurance
2021-03-00832,No,Suspicious Call,Female,2/24/1943,Yes,Florida,Life Insurance
2021-09-02760,No,Fraudulent Documents,Female,4/26/1985,Yes,New York,Retirement Plan
2021-06-01690,No,Money Laundering,Female,11/19/1947,Yes,Colorado,Variable Annuity
2021-02-00543,No,Suspicious Call,Female,5/6/1961,Yes,California,Life Insurance
2022-12-03677,No,Unusual/unexplained Activity,Male,1/15/1964,Yes,California,Life Insurance
2021-11-03331,No,Elder Financial Exploitation,Male,6/19/1960,Yes,Washington,Variable Annuity
2022-11-03511,No,Money Laundering,Male,3/18/1951,Yes,Illinois,Fixed Annuity
2022-12-03691,No,ACH Fraud,Female,6/21/1957,Yes,Oregon,Life Insurance
2022-09-02700,No,Fraudulent Documents,Male,12/10/1983,Yes,North Carolina,Retirement Plan
2022-09-02700,No,Fraudulent Documents,Male,4/18/1944,Yes,North Carolina,Retirement Plan
2022-09-02700,No,Fraudulent Documents,Male,2/7/1987,Yes,North Carolina,Retirement Plan
2021-10-02891,No,Suspicious Call,Male,2/12/1948,Yes,New York,Life Insurance
2022-06-01831,No,ACH Fraud,Female,7/25/1955,Yes,Massachusetts,Life Insurance
2022-05-01404,No,Check Fraud,Female,8/19/1962,Yes,California,Life Insurance
2021-08-02393,Yes,Fraudulent Documents,Female,12/4/1941,Yes,New York,Fixed Annuity
2021-08-02336,No,Elder Financial Exploitation,Male,3/25/1941,Yes,Massachusetts,Life Insurance
2022-10-02966,No,Account Takeover,Male,11/7/1957,Yes,Maryland,Retirement Plan
2022-07-02020,No,Fraudulent Documents,Female,8/14/1934,Yes,Florida,Life Insurance
2021-01-00010,No,Unusual/unexplained Activity,Female,8/26/1952,Yes,Foreign,Life Insurance
2022-11-03592,No,Fraudulent Patterns,Male,7/14/1960,Yes,Louisiana,Life Insurance
2021-02-00295,No,Unusual/unexplained Activity,Male,11/19/1982,No,Maryland,Life Insurance
2021-07-02079,No,Unusual/unexplained Activity,Male,1/5/1952,Yes,Ohio,Variable Annuity
2022-10-03035,No,Account Takeover,Female,6/1/1952,Yes,New York,Fixed Annuity
2021-09-02711,No,Suspicious Call,Female,8/15/1933,Yes,Florida,Variable Annuity
2021-09-02711,No,Suspicious Call,Male,5/17/1931,Yes,Florida,Variable Annuity
2021-04-01251,No,Fraudulent Documents,Male,12/21/1981,Yes,New Jersey,Life Insurance
2022-10-03193,No,Fraudulent Patterns,Male,6/27/1965,Yes,Indiana,Life Insurance
2021-07-02129,No,Unusual/unexplained Activity,Male,3/30/1965,Yes,Pennsylvania,Variable Annuity
2021-07-02129,No,Unusual/unexplained Activity,Female,7/24/1950,Yes,Pennsylvania,Variable Annuity
2022-03-00682,No,Suspicious Call,Female,12/29/1967,Yes,Florida,Life Insurance
2022-07-02025,No,Fraudulent Patterns,Female,10/18/1942,Yes,Mississippi,Life Insurance
2021-11-03479,No,Elder Financial Exploitation,Female,10/16/1950,Yes,Connecticut,Life Insurance
2021-05-01390,No,Unknown Source of Funds,Male,10/7/1960,Yes,Michigan,Variable Annuity
2021-05-01390,No,Unknown Source of Funds,Female,6/3/1961,Yes,Michigan,Variable Annuity
2022-07-01988,No,Suspicious Call,Male,2/14/1950,Yes,New Jersey,Life Insurance
2022-12-03797,No,Money Laundering,Male,1/20/1943,Yes,Oklahoma,Life Insurance
2022-09-02655,No,Suspicious Call,Female,10/31/1937,Yes,Florida,Life Insurance
2021-06-01828,No,Unusual/unexplained Activity,Female,6/21/1951,Yes,Massachusetts,Fixed Annuity
2022-12-03893,No,ACH Fraud,Male,12/19/1982,Yes,New York,Life Insurance
2021-04-01099,No,Unknown Source of Funds,Male,11/20/1979,Yes,Florida,Retirement Plan
2021-08-02418,No,Unusual/unexplained Activity,Male,10/13/1955,Yes,California,Retirement Plan
2021-03-00801,No,Suspicious Call,Female,4/28/1962,No,California,Life Insurance
2022-01-00074,No,Unusual/unexplained Activity,Male,5/28/1958,Yes,New York,Variable Annuity
2021-12-03636,No,ACH Fraud,Male,7/5/1950,Yes,Washington,Life Insurance
2022-01-00237,No,Fraudulent Patterns,Male,8/8/1957,Yes,Virginia,Life Insurance
2022-01-00047,No,Elder Financial Exploitation,Male,8/11/1965,Yes,Colorado,Fixed Annuity
2021-10-02981,No,Elder Financial Exploitation,Female,10/19/1944,Yes,New York,Retirement Plan
2021-06-01857,No,Unusual/unexplained Activity,Male,7/1/1971,Yes,Colorado,Life Insurance
2022-05-01515,Yes,Elder Financial Exploitation,Female,9/30/1950,Yes,Florida,Variable Annuity
2022-05-01515,Yes,Elder Financial Exploitation,Female,5/24/1961,Yes,Florida,Variable Annuity
2022-12-03661,No,Suspicious Call,Female,11/10/1955,Yes,California,Life Insurance
2022-09-02835,No,Unknown Source of Funds,Female,12/15/1979,Yes,New York,Life Insurance
2022-03-00571,No,Suspicious Call,Female,12/28/1979,Yes,California,Life Insurance
2022-06-01733,No,Unusual/unexplained Activity,Female,4/28/1966,Yes,California,Life Insurance
2021-11-03429,No,Suspicious Call,Male,11/16/1983,Yes,Washington,Life Insurance
2021-09-02647,No,Check Fraud,Female,3/7/1969,Yes,Illinois,Retirement Plan
2022-09-02773,No,Suspicious Call,Male,8/5/1945,Yes,California,Fixed Annuity
2021-01-00152,No,Fraudulent Patterns,Male,2/18/1957,No,Nevada,Retirement Plan
2021-09-02858,No,Elder Financial Exploitation,Female,8/31/1931,Yes,California,Fixed Annuity
2021-07-02126,No,Fraudulent Patterns,Male,6/23/1958,Yes,Illinois,Retirement Plan
2021-08-02299,No,Unknown Source of Funds,Female,11/5/1971,Yes,Michigan,Life Insurance
2022-09-02756,No,Suspicious Call,Female,6/12/1931,Yes,New York,Retirement Plan
2021-12-03656,No,Suspicious Call,Male,12/9/1974,Yes,Florida,Retirement Plan
2022-03-00734,No,Suspicious Call,Male,12/30/1986,Yes,California,Retirement Plan
2021-02-00353,No,Fraudulent Patterns,Female,10/4/1984,Yes,New York,Retirement Plan
2022-10-03180,No,ACH Fraud,Male,2/11/1963,Yes,Florida,Retirement Plan
2021-03-00645,No,Fraudulent Patterns,Female,11/23/1938,Yes,Illinois,Retirement Plan
2021-10-02894,No,Suspicious Call,Female,6/23/1982,Yes,California,Retirement Plan
2021-10-02894,No,Suspicious Call,Male,2/15/1979,Yes,California,Retirement Plan
2022-12-03845,No,Elder Financial Exploitation,Male,11/24/1955,Yes,Texas,Retirement Plan
2022-05-01585,No,Producer Misconduct,Female,12/1/1970,Yes,South Carolina,Life Insurance
2022-05-01585,No,Producer Misconduct,Female,8/21/1979,Yes,South Carolina,Life Insurance
2022-05-01585,No,Producer Misconduct,Male,1/18/1966,Yes,South Carolina,Life Insurance
2022-05-01585,No,Producer Misconduct,Male,1/16/1975,Yes,South Carolina,Life Insurance
2022-05-01585,No,Producer Misconduct,Male,2/22/1977,Yes,South Carolina,Life Insurance
2022-05-01585,No,Producer Misconduct,Male,9/30/1955,Yes,South Carolina,Life Insurance
2022-05-01585,No,Producer Misconduct,Male,6/27/1955,Yes,South Carolina,Life Insurance
2022-05-01585,No,Producer Misconduct,Male,2/23/1962,Yes,South Carolina,Life Insurance
2021-12-03779,No,Elder Financial Exploitation,Female,1/9/1935,Yes,California,Retirement Plan
2021-01-00165,No,Fraudulent Patterns,Female,2/13/1947,No,Georgia,Retirement Plan
2021-07-02041,No,Suspicious Call,Male,9/8/1977,Yes,California,Retirement Plan
2021-07-01972,No,Unusual/unexplained Activity,Male,10/30/1962,No,New York,Life Insurance
2021-12-03559,No,Suspicious Call,Female,7/6/1957,Yes,New York,Retirement Plan
2021-01-00085,No,Suspicious Call,Female,11/24/1945,No,Texas,Retirement Plan
2021-04-01161,No,Fraudulent Patterns,Female,11/19/1955,Yes,New York,Retirement Plan
2021-01-00076,No,Suspicious Call,Male,6/22/1959,No,Florida,Retirement Plan
2022-06-01819,No,Check Fraud,Female,11/8/1951,Yes,North Carolina,Retirement Plan
2021-10-03146,No,Producer Misconduct,Male,11/22/1962,Yes,California,Life Insurance
2021-10-03146,No,Producer Misconduct,Male,4/8/1979,Yes,California,Life Insurance
2022-04-01136,No,Suspicious Call,Male,5/6/1960,Yes,California,Retirement Plan
2022-02-00388,No,Suspicious Call,Female,1/18/1947,Yes,Ohio,Retirement Plan
2022-04-01174,No,Producer Misconduct,Male,9/19/1971,No,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Male,5/28/1963,Yes,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Male,12/11/1949,Yes,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Female,7/21/1948,No,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Female,6/7/1969,No,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Male,1/26/1947,Yes,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Female,2/12/1958,No,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Female,8/25/1974,Yes,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Female,8/13/1983,Yes,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Female,12/21/1954,No,Minnesota,Life Insurance
2022-04-01174,No,Producer Misconduct,Female,3/23/1955,No,Minnesota,Life Insurance
2021-02-00358,No,Unusual/unexplained Activity,Male,9/11/1980,No,New Jersey,Life Insurance
2021-09-02715,No,Fraudulent Patterns,Female,12/6/1943,Yes,California,Variable Annuity
2021-09-02715,No,Fraudulent Patterns,Male,3/3/1950,Yes,California,Variable Annuity
2021-09-02715,No,Fraudulent Patterns,Male,4/16/1932,Yes,California,Variable Annuity
2021-04-00994,No,Unusual/unexplained Activity,Male,8/30/1972,Yes,California,Life Insurance
2021-10-02919,No,Elder Financial Exploitation,Male,11/12/1932,Yes,Virginia,Variable Annuity
2022-08-02547,No,Account Takeover,Male,2/27/1974,Yes,California,Retirement Plan
2022-11-03335,No,Elder Financial Exploitation,Female,9/21/1939,Yes,New York,Variable Annuity
2022-04-01158,No,Elder Financial Exploitation,Female,5/16/1949,Yes,Texas,Fixed Annuity
2021-12-03653,No,Suspicious Call,Male,11/29/1924,Yes,Ohio,Retirement Plan
2022-02-00336,No,Unusual/unexplained Activity,Female,11/6/1971,Yes,Massachusetts,Life Insurance
2022-06-01646,No,Account Takeover,Male,4/30/1981,Yes,Maryland,Life Insurance
2021-01-00098,No,Unusual/unexplained Activity,Female,11/18/1978,No,Michigan,Life Insurance
2022-06-01894,No,Elder Financial Exploitation,Female,8/24/1937,Yes,Oklahoma,Retirement Plan
2021-04-01219,No,Fraudulent Patterns,Male,6/12/1962,Yes,Pennsylvania,Retirement Plan
2022-10-03021,No,Account Takeover,Female,3/18/1947,Yes,Virginia,Variable Annuity
2021-09-02698,No,Fraudulent Documents,Male,11/28/1973,Yes,New York,Retirement Plan
2021-09-02586,No,Fraudulent Documents,Male,7/17/1981,Yes,Illinois,Retirement Plan
2022-08-02498,No,Money Laundering,Male,6/22/1943,Yes,Florida,Variable Annuity
2021-11-03231,No,Unusual/unexplained Activity,Female,8/27/1945,Yes,North Carolina,Fixed Annuity
2021-11-03231,No,Unusual/unexplained Activity,Female,3/5/1957,Yes,North Carolina,Fixed Annuity
2022-07-02112,No,Suspicious Call,Male,4/15/1967,Yes,California,Retirement Plan
2021-05-01483,No,Money Laundering,Female,6/19/1954,Yes,Michigan,Fixed Annuity
2022-02-00491,No,Identity Theft,Female,11/24/1935,Yes,Pennsylvania,Fixed Annuity
2022-12-03844,No,Suspicious Call,Male,11/5/1968,Yes,California,Retirement Plan
2022-09-02736,No,Suspicious Call,Male,7/20/1943,Yes,New Jersey,Retirement Plan
2022-11-03271,No,Account Takeover,Male,11/4/1957,Yes,Louisiana,Retirement Plan
2021-06-01612,No,Producer Misconduct,Female,8/3/1952,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,5/11/1960,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,3/27/1955,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,7/18/1951,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,8/2/1966,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,3/25/1956,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,5/29/1957,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,9/2/1945,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,4/13/1953,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,10/12/1953,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,6/30/1959,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,6/21/1957,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,9/8/1957,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,6/22/1956,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,4/29/1959,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,2/10/1952,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,4/22/1961,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,7/2/1962,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,4/10/1957,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,11/28/1956,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Female,1/26/1953,Yes,Minnesota,Fixed Annuity
2021-06-01612,No,Producer Misconduct,Male,7/9/1956,Yes,Minnesota,Fixed Annuity
2022-09-02923,No,Suspicious Call,Male,4/26/1950,Yes,Washington,Retirement Plan
2022-02-00429,No,Money Laundering,Male,10/19/1949,Yes,New Jersey,Variable Annuity
2021-04-01041,No,Account Takeover,Female,9/18/1967,No,California,Life Insurance
2021-11-03333,No,Suspicious Call,Male,9/2/1952,Yes,Michigan,Retirement Plan
2022-12-03890,No,Account Takeover,Male,11/13/1979,Yes,California,Retirement Plan
2021-06-01889,No,Unusual/unexplained Activity,Female,10/23/1957,Yes,Michigan,Life Insurance
2021-01-00102,No,Check Fraud,Female,2/13/1947,No,Georgia,Retirement Plan
2022-07-02071,No,Suspicious Call,Male,10/13/1956,Yes,Texas,Retirement Plan
2022-04-01206,No,Suspicious Call,Male,12/25/1920,Yes,Texas,Retirement Plan
2022-11-03528,No,Elder Financial Exploitation,Female,4/23/1967,Yes,Connecticut,Life Insurance
2022-05-01408,No,Unusual/unexplained Activity,Female,11/3/1960,Yes,Michigan,Fixed Annuity
2022-05-01248,No,Suspicious Call,Female,6/24/1966,Yes,Texas,Retirement Plan
2022-02-00357,No,Producer Misconduct,Female,2/13/1973,Yes,Michigan,Life Insurance
2022-02-00357,No,Producer Misconduct,Male,3/12/1973,Yes,Michigan,Life Insurance
2022-02-00357,No,Producer Misconduct,Male,2/19/1948,Yes,Michigan,Life Insurance
2022-03-00872,No,Account Takeover,Male,1/31/1968,Yes,South Carolina,Retirement Plan
2021-09-02877,No,Unknown Source of Funds,Male,2/4/1969,Yes,Texas,Variable Annuity
2021-09-02877,No,Unknown Source of Funds,Male,10/17/1969,Yes,Texas,Variable Annuity
2021-09-02877,No,Unknown Source of Funds,Male,6/24/1960,Yes,Texas,Variable Annuity
2021-09-02877,No,Unknown Source of Funds,Male,3/26/1981,Yes,Texas,Variable Annuity
2021-09-02877,No,Unknown Source of Funds,Male,5/18/1929,Yes,Texas,Variable Annuity
2021-08-02534,No,Unusual/unexplained Activity,Male,6/20/1973,Yes,Georgia,Life Insurance
2022-01-00018,No,Account Takeover,Male,6/28/1963,Yes,Texas,Retirement Plan
2022-01-00018,No,Account Takeover,Male,12/14/1988,Yes,Texas,Retirement Plan
2022-01-00018,No,Account Takeover,Male,7/11/1975,Yes,Texas,Retirement Plan
2022-01-00018,No,Account Takeover,Female,2/16/1949,Yes,Texas,Retirement Plan
2022-01-00018,No,Account Takeover,Male,1/29/1950,Yes,Texas,Retirement Plan
2022-01-00018,No,Account Takeover,Male,12/16/1951,Yes,Texas,Retirement Plan
2022-05-01470,No,ACH Fraud,Male,9/9/1947,Yes,Louisiana,Retirement Plan
2022-04-01150,No,Fraudulent Documents,Female,11/17/1943,Yes,New Jersey,Retirement Plan
2021-07-02118,No,Unusual/unexplained Activity,Male,4/1/1973,Yes,Foreign,Life Insurance
2022-01-00190,No,Unknown Source of Funds,Male,11/19/1949,Yes,Montana,Fixed Annuity
2021-07-02111,No,Check Fraud,Female,6/17/1966,Yes,Florida,Retirement Plan
2021-12-03801,No,Suspicious Call,Male,2/14/1950,Yes,New Jersey,Variable Annuity
2022-07-02080,No,Suspicious Call,Male,3/29/1973,Yes,New Jersey,Retirement Plan
2022-10-02929,No,Unusual/unexplained Activity,Male,7/26/1943,Yes,Pennsylvania,Life Insurance
2021-03-00773,No,Fraudulent Patterns,Male,8/12/1933,Yes,Ohio,Retirement Plan
2022-09-02602,No,Suspicious Call,Male,10/15/1953,Yes,Michigan,Retirement Plan
2021-07-01970,No,Fraudulent Patterns,Male,2/15/1939,Yes,New York,Retirement Plan
2022-08-02215,No,Money Laundering,Male,9/3/1960,Yes,Pennsylvania,Life Insurance
2021-09-02656,No,Suspicious Call,Male,10/21/1953,Yes,California,Retirement Plan
2022-09-02915,No,Suspicious Call,Male,3/4/1944,Yes,North Carolina,Variable Annuity
2022-12-03665,No,Fraudulent Patterns,Female,8/18/1960,Yes,Florida,Retirement Plan
2022-09-02615,No,Unusual/unexplained Activity,Female,11/23/1966,Yes,Montana,Fixed Annuity
2022-08-02399,No,Unusual/unexplained Activity,Male,6/28/1963,Yes,Kansas,Life Insurance
2022-11-03450,No,Account Takeover,Female,7/21/1981,Yes,Michigan,Retirement Plan
2021-07-02102,No,Producer Misconduct,Male,3/24/1947,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,11/5/1958,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,8/24/1956,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,4/18/1948,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Female,3/22/1956,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Female,10/23/1953,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,2/24/1953,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Female,12/19/1949,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Female,12/9/1950,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Female,11/11/1949,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,8/25/1946,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,4/7/1953,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,2/25/1959,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,11/5/1943,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,10/29/1941,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Female,5/13/1956,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Female,3/28/1943,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Female,5/15/1945,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,7/16/1945,Yes,Michigan,Fixed Annuity
2021-07-02102,No,Producer Misconduct,Male,6/17/1948,Yes,Michigan,Fixed Annuity
2022-08-02275,No,Account Takeover,Female,7/5/1977,Yes,New York,Retirement Plan
2021-04-01107,No,Suspicious Call,Male,1/7/1960,Yes,Georgia,Retirement Plan
2022-11-03381,No,Unusual/unexplained Activity,Female,6/26/1982,No,Virginia,Life Insurance
2022-08-02401,No,Unusual/unexplained Activity,Female,8/8/1980,No,California,Life Insurance
2022-11-03389,No,Elder Financial Exploitation,Female,6/18/1946,Yes,Texas,Variable Annuity
2022-04-00951,No,Suspicious Call,Female,5/7/1955,Yes,Maryland,Retirement Plan
2022-04-00980,No,Elder Financial Exploitation,Female,6/24/1951,Yes,Ohio,Retirement Plan
2021-11-03272,No,Fraudulent Patterns,Male,1/13/1945,Yes,Florida,Retirement Plan
2021-02-00343,No,Suspicious Call,Female,12/19/1930,Yes,California,Retirement Plan
2022-01-00251,No,Fraudulent Patterns,Male,11/19/1954,Yes,Maryland,Retirement Plan
2021-06-01935,No,Suspicious Call,Male,6/20/1967,Yes,Pennsylvania,Retirement Plan
2022-10-03230,No,Money Laundering,Male,7/11/1939,Yes,Ohio,Variable Annuity
2022-08-02327,No,Money Laundering,Male,10/18/1963,Yes,Florida,Life Insurance
2022-12-03766,No,Money Laundering,Female,9/25/1946,Yes,Alabama,Fixed Annuity
2021-06-01779,No,Unknown Third Party Payment,Male,2/7/1965,Yes,Florida,Variable Annuity
2021-06-01779,No,Unknown Third Party Payment,Female,11/29/1962,Yes,Florida,Variable Annuity
2021-06-01779,No,Unknown Third Party Payment,Male,8/26/1954,Yes,Florida,Variable Annuity
2021-01-00091,No,Unusual/unexplained Activity,Female,5/16/1984,No,Ohio,Life Insurance
2021-06-01759,No,Fraudulent Patterns,Male,3/5/1974,Yes,Illinois,Retirement Plan
2021-03-00777,No,Producer Misconduct,Female,4/4/1937,Yes,Massachusetts,Variable Annuity
2021-03-00777,No,Producer Misconduct,Female,4/19/1947,Yes,Massachusetts,Variable Annuity
2022-08-02249,No,Elder Financial Exploitation,Female,3/22/1934,Yes,California,Retirement Plan
2022-08-02249,No,Elder Financial Exploitation,Male,8/18/1932,Yes,California,Retirement Plan
2022-09-02663,No,Elder Financial Exploitation,Female,3/30/1952,Yes,New Jersey,Fixed Annuity
2022-09-02663,No,Elder Financial Exploitation,Male,4/7/1942,Yes,New Jersey,Fixed Annuity
2022-01-00270,No,Money Laundering,Male,6/29/1952,Yes,California,Fixed Annuity
